SINGLE_CHOICE_COUNT:10,MULTIPLE_CHOICE_COUNT:0,TRUE_FALSE_COUNT:10,INORDER:0,CHOICE_IN_ORDER:0
客户开仓数量不得超过交易所规定的交易限额.对超过交易限额的客户.交易所可以采取的措施不包括(),single_choice,要求报告情况,电话提示,强行平仓,__ANSWERS__,强行平仓,__SCORE__,5
交易所在()中规定参与特定品种期货交易的客户应该符合的标准,single_choice,交易细则,期货交易适当性管理办法,结算细则,__ANSWERS__,期货交易适当性管理办法,__SCORE__,5
看涨期权的买方要想通过对冲平仓了结在手的合约需要(),single_choice,卖出看跌期权,买入看跌期权,卖出看涨期权,__ANSWERS__,卖出看涨期权,__SCORE__,5
期货合约的标准化是指除()以外的所有要素都是统一规定的,single_choice,合约有效期,报价单位,价格,__ANSWERS__,价格,__SCORE__,5
客户具有累计不少于10个交易日()笔以上的境内交易场所的期货合约或者期权合约仿真交易成交记录.可以申请实行适当性制度的上市品种交易编码的开立或者交易权限的开通,single_choice,10,30,20,__ANSWERS__,20,__SCORE__,5
期货交易报价时.超过期货交易所规定的涨跌幅度的报价(),single_choice,无效.但可申请转移至下一个交易日,无效.不能成交,有效.可自动转移至下一个交易日,__ANSWERS__,无效.不能成交,__SCORE__,5
以下不属于中国期货市场监控中心职责的是(),single_choice,期货保证金安全监控,为期货投资者提供交易结算信息查询,组织期货交易,__ANSWERS__,组织期货交易,__SCORE__,5
连续交易阶段.期货合约成交是以()为原则,single_choice,价格优先.数量优先,数量优先.时间优先,价格优先.时间优先,__ANSWERS__,价格优先.时间优先,__SCORE__,5
经营机构应告知投资者.应综合考虑自身风险承受能力与经营机构的适当性匹配意见.独立做出投资决策并承担投资风险;经营机构提出的适当性匹配意见().其履行投资者适当性职责不能取代投资者的投资判断.不会降低产品或服务的固有风险.也不会影响其依法应当承担的投资风险､履约责任以及费用,single_choice,代表其对产品或服务的风险和收益作出实质性判断或保证,是投资者决策的唯一标准,不表明其对产品或服务的风险和收益作出实质性判断或保证,__ANSWERS__,不表明其对产品或服务的风险和收益作出实质性判断或保证,__SCORE__,5
按照《证券期货投资者适当性管理办法》要求.将投资者分为().并实施差异化适当性管理,single_choice,一般投资者和特殊投资者,投机者和套利者,普通投资者和专业投资者,__ANSWERS__,普通投资者和专业投资者,__SCORE__,5
客户具有累计不少于()个交易日20笔以上的境内交易场所的期货合约或者期权合约仿真交易成交记录.可以申请实行适当性制度的上市品种交易编码的开立或者交易权限的开通,single_choice,10,30,20,__ANSWERS__,10,__SCORE__,5
境外客户可以参与中国期货市场哪些期货品种交易?(),single_choice,所有商品期货品种,所有品种,境内特定品种期货,__ANSWERS__,境内特定品种期货,__SCORE__,5
客户进行期权交易.应该使用与期货交易()的交易编码和()的账户,single_choice,相同､相同,相同､不同,不同､不同,__ANSWERS__,相同､相同,__SCORE__,5
客户的持仓数量不得超过交易所规定的持仓限额.超过持仓限额的.(),single_choice,取消交易资格,仍可同方向开仓交易,不得同方向开仓交易,__ANSWERS__,不得同方向开仓交易,__SCORE__,5
经营机构向普通投资者销售或提供高风险等级的产品或服务时.应给与投资者至少()小时的冷静期或至少增加一次回访告知特别风险,single_choice,12,8,24,__ANSWERS__,24,__SCORE__,5
"在期货行情中.""涨跌""是指某一期货合约在当日交易期间的最新价与()之差",single_choice,开盘价,上一交易日收盘价,上一交易日结算价,__ANSWERS__,上一交易日结算价,__SCORE__,5
在期货交易中.每次报价必须是期货合约()的整数倍,single_choice,每日价格最大波动限制,期货价格,最小变动价位,__ANSWERS__,最小变动价位,__SCORE__,5
期货交易采用的结算方式是(),single_choice,分期付款,一次性结清,当日无负债结算,__ANSWERS__,当日无负债结算,__SCORE__,5
商品的()能放映商品在未来一定时期的价格变化趋势.包含了市场的预期,single_choice,期货价格,批发价格,现货价格,__ANSWERS__,期货价格,__SCORE__,5
期货投资者不得采用()下达交易指令,single_choice,电话委托,全权委托期货公司,书面委托,__ANSWERS__,全权委托期货公司,__SCORE__,5
买方只能在期权到期日才能行权的期权叫做(),single_choice,欧式期权,美式期权,看涨期权,__ANSWERS__,欧式期权,__SCORE__,5
期货交易者在买卖期货合约时交纳的保证金比例一般为合约价值的(),single_choice,50%-80%,100.0%,5%-20%,__ANSWERS__,5%-20%,__SCORE__,5
根据《期货经营机构投资者适当性管理实施指引(试行)》.投资者提供的信息发生重要变化.可能影响其投资者分类的.应当及时告知(),single_choice,中国期货业协会,中国证监会,经营机构,__ANSWERS__,经营机构,__SCORE__,5
看涨期权的买方期望标的资产的价格会().而看跌期权的买方则期望标的资产的价格会(),single_choice,上涨､上涨,下跌､上涨,上涨､下跌,__ANSWERS__,上涨､下跌,__SCORE__,5
交易所实行大户报告制度.客户持仓达到交易所报告界限的.(),single_choice,不需要向交易所报告,应主动向交易所报告,询问交易所是否需要报告,__ANSWERS__,应主动向交易所报告,__SCORE__,5
期权的()拥有在将来某一时间以特定价格买入或者卖出标的物的权利,single_choice,卖方与买方商议确定,卖方,买方,__ANSWERS__,买方,__SCORE__,5
近一年具有累计不少于()个交易日境内交易所的期货合约､期权合约或者集中清算的其他衍生品交易成交记录或者认可境外成交记录的客户.可豁免部分条件为其参与实行适当性制度的上市品种申请开立交易编码或开通交易权限,single_choice,50,150,100,__ANSWERS__,50,__SCORE__,5
交易限额是指交易所规定会员或者客户对某一合约在某一期限内()的最大数量,single_choice,持仓,平仓,开仓,__ANSWERS__,开仓,__SCORE__,5
以下关于自然人参与商品期货交割月交易表述正确的是(),single_choice,自然人不能进入交割月,自然人可以进入交割月,自然人能否进入交割月需依据具体交易所规则而定,__ANSWERS__,自然人能否进入交割月需依据具体交易所规则而定,__SCORE__,5
以下哪一项不属于参与特定品种期货交易的个人客户需要符合的标准?(),single_choice,具有交易所规定的交易经历,具有期货交易基础知识.了解相关业务规则,具有健全的期货交易管理相关制度,__ANSWERS__,具有健全的期货交易管理相关制度,__SCORE__,5
期货公司向客户收取的保证金.属于()所有,single_choice,期货公司,客户,期货交易所,__ANSWERS__,客户,__SCORE__,5
期货合约涨跌停板的计算以该合约上一交易日的()为依据,single_choice,开盘价,收盘价,结算价,__ANSWERS__,结算价,__SCORE__,5
期货与期权交易的杠杆性决定了:收益可能成倍放大.损失也可能(),single_choice,成倍缩小,不变,成倍放大,__ANSWERS__,成倍放大,__SCORE__,5
目前.我国各期货交易所均包括的指令是(),single_choice,市价指令,止损指令,限价指令,__ANSWERS__,限价指令,__SCORE__,5
投资者主动要求购买风险等级高于其风险承受能力的产品或接受相关服务的.经营机构在确认其不属于()后.应当要求投资者签署特别风险警示书.确认其已知悉产品或服务的风险特征.风险高于投资者承受能力的事实及可能引起的后果.才可以满足其要求,single_choice,专业投资者,风险承受能力最低类别投资者,高风险承受能力投资者,__ANSWERS__,风险承受能力最低类别投资者,__SCORE__,5
经营机构应当利用投资者评估数据库及交易行为记录等信息.持续跟踪和评估投资者风险承受能力.必要时调整其风险承受能力等级.经营机构调整投资者风险能力等级的.应当().并以书面方式记载留存,single_choice,经交易所核准,上报证监会批准,将风险承受能力评估结果交投资者签署确认,__ANSWERS__,将风险承受能力评估结果交投资者签署确认,__SCORE__,5
下列各项中.属于期货交易所为保障期货市场平稳运行而制定的交易制度的是()①保证金制度②当日无负债结算制度③涨跌停板制度④持仓限额制度,single_choice,①②③④,①②,②③,__ANSWERS__,①②③④,__SCORE__,5
交易所在日常监控中发现具有疑似实际控制关系且未申报的账户.可以通过相关开户机构向开户人进行询问,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
期权卖方的最大收益为期权的权利金.但承担的损失可能是很大的,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
自然人可以委托代理人办理开户手续､签署开户文件,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
客户对当日交易结算单结果的确认.应当视对该日之前所有持仓和交易结算结果的确认.所产生的交易结果由客户自行承担,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
经营机构向普通投资者销售或提供高风险等级的产品或服务时.应当向投资者提供特别风险警示书.揭示该产品或服务的高风险特征.由投资者签字确认,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
同一客户在不同期货公司会员处开有多个交易编码的.各交易编码上所有持仓合约合并计算,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
为获得期权合约所赋予的权利.期权卖方须向买方支付一定数量的权利金.不需要交纳保证金,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
投资者提供的信息发生重要变化.可能影响其投资者分类的.不需要告知经营机构,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
境外交易者不可以参与交割,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
期货交易分为日盘和夜盘,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
深度虚值期权虽然便宜.但是买方不一定最终获利,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
交易所可以根据市场风险状况调整涨跌停板幅度,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
自然人应当参加投资者适当性知识测试.不得由其他人代替,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
投资者应当在了解产品或服务.并听取经营机构适当性意见的基础上.根据自身能力审慎决策.独立承担投资风险,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
当期货市场出现异常情况时.期货交易所有权提高保证金,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
期货实行双向交易.既可先买后卖.也可以先卖后买,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
"根据中期协发布的《期货经营机构投资者适当性管理实施指引(试行)》相关规定.经营机构应以""适当的产品销售给适当的投资者""为原则销售产品或提供服务",true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
同一客户在同一期货合约上可以同时持有买方向和卖方向的双向持仓,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
境内交易者可以通过境内期货公司或者境外的经纪机构申请开户,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
期货合约规定的首交易日或最后交易日涨跌停幅度可能不同,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
"期货合约的交易单位为""手"".期货交易以交易单位的整数倍进行",true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
客户保证金不足时.应当及时追加保证金或者自行平仓,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
境外交易者可以通过境内期货公司或者境外的经纪机构申请开户,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
若要开通实行适当性制度的所有上市品种的交易权限.个人投资者必须具备期权仿真交易经历,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
客户持仓量超出其限仓规定的.交易所有权对其持仓进行强行平仓,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
投资者应保证资金来源的合法性,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
依据证监会《证券期货投资者适当性管理办法》的相关规定.经营机构的适当性匹配意见不表明其对产品或服务的风险和收益作出实质性判断或保证,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
投资者参与期货或期权交易.都可以在合约到期前以对冲平仓的形式了结持仓,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
交易所可以根据市场风险状况调整涨跌停板幅度,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
期货交易的买卖双方权利义务对等.但期权交易的买卖双方的权利义务不对等,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
期货合约在交割月和非交割月的持仓限额相同,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
期货公司向客户收取的交易保证金可以低于交易所规定的标准,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
期货合约分为集合竞价和连续竞价,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
期货具有价格发现和套期保值的功能.期权没有这些功能,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
投资者购买产品或接受服务.按规定需要提供信息的.所提供的信息应当真实､准确､完整,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,
看跌期权的买方行权后.持仓转化为标的物的多头,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
境外交易者参与特定品种期货交易时.交易所不接受外汇资金作为保证金,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
期货经营机构可以向普通投资者主动推介风险等级高于其风险承受能力的产品或服务,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
平值期权是标的物价高于行权价格的期权,true_false,正确,错误,__ANSWERS__,错误,__SCORE__,5,
禁止期货经营机构向不符合准入要求的投资者销售产品或提供服务,true_false,正确,错误,__ANSWERS__,正确,__SCORE__,5,

